title,category,rental_rate,replacement_cost,total_rentals,total_revenue,revenue_per_rental
Destination Jerk,Drama,0.99,19.99,8,31.92,3.99
Saints Bride,Drama,2.99,11.99,8,31.92,3.99
Suspects Quills,Action,2.99,22.99,30,118.73,3.9577
Fargo Gandhi,Children,2.99,28.99,24,94.79,3.9496
Remember Diary,Family,2.99,15.99,18,70.83,3.935
Zoolander Fiction,Children,2.99,28.99,17,66.85,3.9324
Egypt Tenenbaums,Horror,0.99,11.99,17,66.84,3.9318
Gaslight Crusade,Horror,2.99,10.99,16,62.84,3.9275
Reap Unfaithful,Horror,2.99,26.99,16,62.84,3.9275
Sweet Brotherhood,Travel,2.99,27.99,15,58.89,3.926
Nash Chocolat,Animation,2.99,21.99,15,58.87,3.9247
Chisum Behavior,Family,4.99,25.99,13,50.9,3.9154
Northwest Polish,Sports,2.99,24.99,20,77.82,3.891
Flying Hook,Animation,2.99,18.99,20,77.81,3.8905
Harper Dying,Animation,0.99,15.99,20,77.8,3.89
Quest Mussolini,Action,2.99,29.99,20,77.8,3.89
Fantasia Park,Games,2.99,29.99,19,73.81,3.8847
Instinct Airport,Sports,2.99,21.99,18,69.83,3.8794
Jumanji Blade,New,2.99,13.99,8,30.92,3.865
Sierra Divide,Sports,0.99,12.99,15,57.85,3.8567
Sea Virgin,Drama,2.99,24.99,22,84.81,3.855
Alien Center,Foreign,2.99,10.99,22,84.8,3.8545
Exorcist Sting,Sports,2.99,17.99,13,49.88,3.8369
Extraordinary Conquerer,Classics,2.99,29.99,6,22.94,3.8233
Happiness United,Foreign,2.99,23.99,6,22.94,3.8233
Brotherhood Blanket,Documentary,0.99,26.99,26,98.77,3.7988
Life Twisted,Comedy,2.99,9.99,10,37.92,3.792
Fish Opus,Sci-Fi,2.99,22.99,25,94.78,3.7912
Ice Crossing,Games,2.99,28.99,24,90.78,3.7825
Shane Darkness,Travel,2.99,22.99,14,52.87,3.7764
Maguire Apache,Family,2.99,22.99,9,33.91,3.7678
Network Peak,Family,2.99,23.99,31,116.73,3.7655
Artist Coldblooded,Sports,2.99,10.99,16,59.86,3.7413
Invasion Cyclone,Children,2.99,12.99,27,100.74,3.7311
Frida Slipper,Foreign,2.99,11.99,11,40.9,3.7182
Pollock Deliverance,Foreign,2.99,14.99,18,66.82,3.7122
Wonka Sea,Animation,2.99,24.99,18,66.82,3.7122
Pizza Jumanji,Games,2.99,11.99,7,25.94,3.7057
Potter Connecticut,Animation,2.99,16.99,17,62.85,3.6971
Elizabeth Shane,Sports,4.99,11.99,10,36.93,3.693
Hyde Doctor,Classics,2.99,11.99,26,95.76,3.6831
Sleepy Japanese,New,2.99,25.99,21,76.83,3.6586
Unbreakable Karate,New,0.99,16.99,21,76.81,3.6576
Oz Liaisons,Animation,2.99,14.99,24,87.78,3.6575
Color Philadelphia,Classics,2.99,19.99,24,87.78,3.6575
Warlock Werewolf,Children,2.99,10.99,6,21.94,3.6567
Killer Innocent,Family,2.99,11.99,6,21.94,3.6567
Badman Dawn,Sci-Fi,2.99,22.99,21,76.79,3.6567
Phantom Glory,New,2.99,17.99,6,21.94,3.6567
Affair Prejudice,Horror,2.99,26.99,23,83.79,3.643
Lord Arizona,Action,2.99,27.99,11,39.9,3.6273
Butterfly Chocolat,New,0.99,17.99,30,108.74,3.6247
Eyes Driving,Sci-Fi,2.99,13.99,19,68.84,3.6232
Untouchables Sunrise,Documentary,2.99,11.99,8,28.93,3.6163
Chitty Lock,Drama,2.99,24.99,8,28.92,3.615
Blues Instinct,Family,2.99,18.99,21,75.82,3.6105
Giant Troopers,Children,2.99,10.99,28,100.74,3.5979
Circus Youth,Children,2.99,13.99,15,53.86,3.5907
Noon Papi,Children,2.99,12.99,17,60.85,3.5794
Greatest North,Music,2.99,24.99,29,103.73,3.5769
Crossroads Casualties,Animation,2.99,20.99,21,74.8,3.5619
Creatures Shakespeare,Games,0.99,23.99,16,56.84,3.5525
Metal Armageddon,Documentary,2.99,26.99,25,88.79,3.5516
Telemark Heartbreakers,Animation,2.99,9.99,25,88.76,3.5504
Gangs Pride,Animation,2.99,27.99,27,95.78,3.5474
Random Go,Sci-Fi,2.99,29.99,9,31.91,3.5456
Darkness War,Drama,2.99,24.99,13,45.88,3.5292
Wait Cider,Animation,0.99,9.99,21,73.82,3.5152
Spy Mile,Games,2.99,13.99,27,94.73,3.5085
Duck Racer,Animation,2.99,15.99,6,20.95,3.4917
Papi Necklace,Travel,0.99,9.99,8,27.93,3.4913
Driver Annie,Sports,2.99,11.99,18,62.84,3.4911
Shakespeare Saddle,Sports,2.99,26.99,22,76.8,3.4909
Speakeasy Date,Action,2.99,22.99,12,41.89,3.4908
Mummy Creatures,Sports,0.99,15.99,16,55.85,3.4906
Camelot Vacation,Sci-Fi,0.99,26.99,27,93.76,3.4726
Berets Agent,Action,2.99,24.99,21,72.8,3.4667
Ridgemont Submarine,New,0.99,28.99,32,110.72,3.46
Hurricane Affair,Comedy,2.99,11.99,24,82.77,3.4488
Prix Undefeated,Family,2.99,13.99,11,37.9,3.4455
Bringing Hysterical,Comedy,2.99,14.99,20,68.81,3.4405
Alone Trip,Music,0.99,14.99,18,61.83,3.435
Murder Antitrust,Children,2.99,11.99,23,78.79,3.4257
Doctor Grail,Children,2.99,29.99,7,23.95,3.4214
Madre Gables,Games,2.99,27.99,14,47.87,3.4193
Flatliners Killer,Sports,2.99,29.99,22,74.81,3.4005
Barbarella Streetcar,Sci-Fi,2.99,27.99,25,84.78,3.3912
Wagon Jaws,Documentary,2.99,17.99,10,33.91,3.391
Dinosaur Secretary,Family,2.99,27.99,20,67.81,3.3905
Full Flatliners,Children,2.99,14.99,5,16.95,3.39
Conspiracy Spirit,Classics,2.99,27.99,5,16.95,3.39
Braveheart Human,Family,2.99,14.99,5,16.95,3.39
Expendable Stallion,Documentary,0.99,14.99,28,94.74,3.3836
Microcosmos Paradise,Children,2.99,22.99,13,43.88,3.3754
Amistad Midsummer,New,2.99,10.99,21,70.79,3.371
Unfaithful Kill,Drama,2.99,12.99,8,26.92,3.365
Pet Haunting,Foreign,0.99,11.99,8,26.92,3.365
Bill Others,Documentary,2.99,12.99,19,63.82,3.3589
Dream Pickup,Action,2.99,18.99,22,73.8,3.3545
Drumline Cyclone,Travel,0.99,14.99,11,36.9,3.3545
Oscar Gold,Animation,2.99,29.99,25,83.75,3.35
Shrunk Divine,Action,2.99,14.99,14,46.87,3.3479
Alley Evolution,Foreign,2.99,23.99,14,46.87,3.3479
Town Ark,Foreign,2.99,17.99,14,46.87,3.3479
Troopers Metal,New,0.99,20.99,14,46.86,3.3471
Seabiscuit Punk,Sports,2.99,28.99,26,86.76,3.3369
Valley Packer,Comedy,0.99,21.99,15,49.88,3.3253
English Bulworth,Sci-Fi,0.99,18.99,30,99.74,3.3247
Strangelove Desire,Children,0.99,27.99,24,79.78,3.3242
Barefoot Manchurian,Action,2.99,15.99,18,59.83,3.3239
Wisdom Worker,Comedy,0.99,12.99,9,29.91,3.3233
Timberland Sky,Classics,0.99,13.99,31,102.74,3.3142
Fatal Haunted,New,2.99,24.99,28,92.77,3.3132
Neighbors Charade,Sports,0.99,20.99,19,62.83,3.3068
Willow Tracy,Family,2.99,22.99,16,52.85,3.3031
Patriot Roman,Action,2.99,12.99,16,52.85,3.3031
Express Lonely,Sci-Fi,2.99,23.99,13,42.88,3.2985
Maker Gables,Children,0.99,12.99,10,32.9,3.29
Beach Heartbreakers,Documentary,2.99,16.99,17,55.86,3.2859
Greek Everyone,Foreign,2.99,11.99,17,55.83,3.2841
Lesson Cleopatra,Sports,0.99,28.99,7,22.94,3.2771
Bang Kwai,Family,2.99,25.99,7,22.93,3.2757
Newsies Story,Documentary,0.99,25.99,7,22.93,3.2757
Monster Spartacus,Music,2.99,28.99,15,48.86,3.2573
Pond Seattle,Animation,2.99,25.99,19,61.82,3.2537
Pilot Hoosiers,Family,2.99,17.99,16,51.86,3.2413
Moulin Wake,Travel,0.99,20.99,16,51.84,3.24
Desire Alien,Animation,2.99,24.99,8,25.92,3.24
Sweethearts Suspects,Children,0.99,13.99,29,93.73,3.2321
Shock Cabin,Foreign,2.99,15.99,30,96.71,3.2237
Breaking Home,New,2.99,21.99,13,41.9,3.2231
Date Speed,Family,0.99,19.99,13,41.88,3.2215
Party Knock,Comedy,2.99,11.99,13,41.88,3.2215
Dwarfs Alter,Games,2.99,13.99,9,28.92,3.2133
Won Dares,Music,2.99,18.99,9,28.91,3.2122
Forward Temple,Games,2.99,25.99,32,102.74,3.2106
Earring Instinct,Family,0.99,22.99,19,60.83,3.2016
Dirty Ace,Games,2.99,29.99,15,47.87,3.1913
Worker Tarzan,Travel,2.99,26.99,15,47.86,3.1907
Mussolini Spoilers,Sports,2.99,10.99,5,15.95,3.19
Magnolia Forrester,Action,0.99,28.99,11,34.89,3.1718
Perfect Groove,Comedy,2.99,17.99,17,53.84,3.1671
Atlantis Cause,Family,2.99,15.99,24,75.79,3.1579
Boulevard Mob,New,0.99,11.99,18,56.84,3.1578
Simon North,Horror,0.99,26.99,6,18.94,3.1567
Rushmore Mermaid,Comedy,2.99,17.99,6,18.94,3.1567
Honey Ties,Sports,0.99,29.99,19,59.84,3.1495
Clones Pinocchio,Music,2.99,16.99,19,59.83,3.1489
Forever Candidate,Children,2.99,28.99,13,40.88,3.1446
Wrong Behavior,Children,2.99,10.99,20,62.8,3.14
Divorce Shining,Sports,2.99,21.99,7,21.95,3.1357
Leathernecks Dwarfs,Travel,2.99,21.99,7,21.94,3.1343
Chariots Conspiracy,Sci-Fi,2.99,29.99,21,65.81,3.1338
Personal Ladybugs,Music,0.99,19.99,14,43.87,3.1336
Mulholland Beast,Foreign,2.99,13.99,7,21.93,3.1329
Shanghai Tycoon,Travel,2.99,20.99,14,43.86,3.1329
World Leathernecks,Horror,0.99,13.99,8,24.92,3.115
Clash Freddy,Animation,2.99,12.99,25,77.77,3.1108
Dolls Rage,Sci-Fi,2.99,10.99,9,27.92,3.1022
Fury Murder,Children,0.99,28.99,19,58.83,3.0963
Fiction Christmas,Foreign,0.99,14.99,19,58.81,3.0953
Blood Argonauts,Family,0.99,13.99,10,30.93,3.093
Insider Arizona,Music,2.99,17.99,20,61.83,3.0915
Cranes Reservoir,Sports,2.99,12.99,11,33.91,3.0827
Trouble Date,Travel,2.99,13.99,23,70.81,3.0787
Gentlemen Stage,Foreign,2.99,22.99,23,70.8,3.0783
Others Soup,Travel,2.99,18.99,23,70.8,3.0783
Spinal Rocky,Family,2.99,12.99,13,39.87,3.0669
Uncut Suicides,Music,2.99,29.99,14,42.87,3.0621
Stock Glass,New,2.99,10.99,14,42.87,3.0621
Grit Clockwork,Games,0.99,21.99,32,97.72,3.0538
Varsity Trip,New,2.99,14.99,16,48.84,3.0525
Racer Egg,Drama,2.99,19.99,18,54.83,3.0461
Contact Anonymous,Travel,2.99,10.99,26,78.76,3.0292
Tracy Cider,Animation,0.99,29.99,26,78.76,3.0292
Gone Trouble,Drama,2.99,20.99,10,29.92,2.992
Halloween Nuts,Documentary,2.99,19.99,10,29.92,2.992
Jade Bunch,Sports,2.99,21.99,18,53.85,2.9917
Wardrobe Phantom,Drama,2.99,19.99,27,80.77,2.9915
Lebowski Soldiers,Drama,2.99,17.99,21,62.82,2.9914
Wedding Apollo,Documentary,0.99,14.99,24,71.79,2.9913
Disturbing Scarface,Sci-Fi,2.99,27.99,26,77.77,2.9912
Dares Pluto,Animation,2.99,16.99,9,26.92,2.9911
Cider Desire,Documentary,2.99,9.99,19,56.83,2.9911
Reservoir Adaptation,Foreign,2.99,29.99,10,29.91,2.991
Stone Fire,Travel,0.99,19.99,11,32.9,2.9909
Escape Metropolis,Travel,2.99,20.99,25,74.77,2.9908
Spiking Element,Classics,2.99,12.99,13,38.88,2.9908
Ship Wonderland,Documentary,2.99,15.99,15,44.86,2.9907
Operation Operation,Comedy,2.99,23.99,27,80.75,2.9907
Crazy Home,Comedy,2.99,24.99,9,26.91,2.99
Glory Tracy,Games,2.99,13.99,5,14.95,2.99
Clyde Theory,New,0.99,29.99,8,23.92,2.99
Chaplin License,New,2.99,26.99,8,23.92,2.99
Ladybugs Armageddon,Games,0.99,13.99,6,17.94,2.99
Rocketeer Mother,Foreign,0.99,27.99,33,97.72,2.9612
Idols Snatchers,Children,2.99,29.99,30,88.76,2.9587
None Spiking,Sci-Fi,0.99,18.99,27,79.75,2.9537
Island Exorcist,Classics,2.99,23.99,26,76.77,2.9527
Divide Monster,Sci-Fi,2.99,13.99,21,61.8,2.9429
Excitement Eve,Action,0.99,20.99,21,61.8,2.9429
Mask Peach,New,2.99,26.99,17,49.86,2.9329
Caddyshack Jedi,Action,0.99,17.99,16,46.86,2.9288
Indian Love,Family,0.99,26.99,16,46.85,2.9281
Cyclone Family,Foreign,2.99,18.99,15,43.87,2.9247
Paris Weekend,Horror,2.99,19.99,14,40.88,2.92
Blackout Private,Animation,2.99,12.99,27,78.77,2.9174
Malkovich Pet,Classics,2.99,22.99,26,75.77,2.9142
Downhill Enough,Comedy,0.99,19.99,25,72.79,2.9116
Adaptation Holes,Documentary,2.99,18.99,12,34.89,2.9075
Feathers Metal,Games,0.99,12.99,11,31.91,2.9009
Song Hedwig,Music,0.99,29.99,11,31.9,2.9
Muscle Bright,Travel,2.99,23.99,30,86.73,2.891
Jeopardy Encino,Classics,0.99,12.99,10,28.9,2.89
Rouge Squad,Games,0.99,10.99,18,51.84,2.88
Enough Raging,Travel,2.99,16.99,18,51.84,2.88
Horror Reign,Travel,0.99,25.99,27,77.75,2.8796
Lose Inch,Foreign,0.99,18.99,27,77.74,2.8793
Rock Instinct,Horror,0.99,28.99,17,48.83,2.8724
Uprising Uptown,Action,2.99,16.99,16,45.87,2.8669
Shining Roses,Travel,0.99,12.99,8,22.92,2.865
House Dynamite,Family,2.99,13.99,23,65.8,2.8609
Snowman Rollercoaster,Animation,0.99,27.99,23,65.79,2.8604
Scissorhands Slums,Foreign,2.99,13.99,15,42.88,2.8587
Modern Dorado,Documentary,0.99,20.99,15,42.88,2.8587
Entrapment Satisfaction,Action,0.99,19.99,15,42.87,2.858
Hamlet Wisdom,Sci-Fi,2.99,21.99,14,39.88,2.8486
Pajama Jawbreaker,Classics,0.99,14.99,14,39.86,2.8471
River Outlaw,Sports,0.99,29.99,20,56.82,2.841
Half Outfield,Family,2.99,25.99,26,73.79,2.8381
Mallrats United,Comedy,0.99,25.99,25,70.78,2.8312
Blanket Beverly,Family,2.99,21.99,12,33.9,2.825
Married Go,Sci-Fi,2.99,22.99,30,84.74,2.8247
Jumping Wrath,Children,0.99,18.99,24,67.79,2.8246
Goldfinger Sensibility,Drama,0.99,29.99,24,67.79,2.8246
Youth Kick,Music,0.99,14.99,6,16.94,2.8233
Theory Mermaid,Animation,0.99,9.99,11,30.88,2.8073
Doom Dancing,Comedy,0.99,13.99,21,58.83,2.8014
Antitrust Tomatoes,Action,2.99,11.99,10,27.93,2.793
Labyrinth League,Children,2.99,24.99,15,41.87,2.7913
Straight Hours,Sports,0.99,19.99,20,55.81,2.7905
Heaven Freedom,Comedy,2.99,19.99,18,49.85,2.7694
Diary Panic,Drama,2.99,20.99,9,24.92,2.7689
Robbers Joon,Children,2.99,26.99,31,85.74,2.7658
Sinners Atlantis,Horror,2.99,19.99,22,60.81,2.7641
Newton Labyrinth,Foreign,0.99,9.99,17,46.84,2.7553
Fireball Philadelphia,Comedy,0.99,25.99,21,57.81,2.7529
Outfield Massacre,Music,0.99,18.99,20,54.82,2.741
Dalmations Sweden,Drama,0.99,25.99,20,54.82,2.741
Wasteland Divine,Classics,2.99,18.99,15,40.88,2.7253
Hunting Musketeers,Family,2.99,24.99,15,40.88,2.7253
Homicide Peach,Family,2.99,21.99,22,59.82,2.7191
Santa Paris,Children,2.99,23.99,11,29.9,2.7182
Deer Virginian,Music,2.99,13.99,29,78.76,2.7159
Juggler Hardly,Animation,0.99,14.99,32,86.71,2.7097
Menagerie Rushmore,Animation,2.99,18.99,7,18.94,2.7057
Graduate Lord,Children,2.99,14.99,16,42.87,2.6794
Lock Rear,Travel,2.99,10.99,16,42.86,2.6788
Chicken Hellfighters,Documentary,0.99,24.99,22,58.81,2.6732
Packer Madigan,Animation,0.99,20.99,22,58.8,2.6727
Hedwig Alter,Comedy,2.99,16.99,12,31.9,2.6583
Mighty Luck,Documentary,2.99,13.99,12,31.9,2.6583
Cabin Flash,Children,0.99,25.99,15,39.86,2.6573
Birdcage Casper,Music,0.99,23.99,9,23.91,2.6567
Wild Apollo,New,0.99,24.99,6,15.94,2.6567
Rush Goodfellas,Family,0.99,20.99,31,81.72,2.6361
Madness Attacks,Foreign,0.99,14.99,25,65.77,2.6308
Novocaine Flight,Sports,0.99,11.99,19,49.82,2.6221
Mile Mulan,Sports,0.99,10.99,13,33.89,2.6069
Grapes Fury,Foreign,0.99,20.99,22,56.77,2.5805
Freaky Pocus,Music,2.99,16.99,17,43.86,2.58
United Pilot,Documentary,0.99,27.99,17,43.85,2.5794
Orange Grapes,Foreign,0.99,21.99,24,61.78,2.5742
Glass Dying,Action,0.99,24.99,14,35.88,2.5629
License Weekend,Sci-Fi,2.99,28.99,7,17.94,2.5629
Magic Mallrats,Children,0.99,19.99,7,17.93,2.5614
Reunion Witches,Drama,0.99,26.99,20,50.82,2.541
Dragon Squad,Action,0.99,26.99,11,27.89,2.5355
Lucky Flying,Music,2.99,10.99,13,32.9,2.5308
Robbery Bright,Family,0.99,21.99,13,32.88,2.5292
Shrek License,Foreign,2.99,15.99,15,37.88,2.5253
Gables Metropolis,Family,0.99,17.99,19,47.83,2.5174
Uptown Young,Children,2.99,16.99,12,29.9,2.4917
Oleander Clue,Music,0.99,12.99,10,24.91,2.491
Donnie Alley,Animation,0.99,20.99,14,34.87,2.4907
Frost Head,Classics,0.99,13.99,30,74.72,2.4907
Chocolat Harry,Family,0.99,16.99,20,49.81,2.4905
Side Ark,Action,0.99,28.99,12,29.88,2.49
Sling Luke,Classics,0.99,10.99,6,14.94,2.49
Anaconda Confessions,Animation,0.99,9.99,21,51.82,2.4676
Necklace Outbreak,Drama,0.99,21.99,15,36.86,2.4573
Natural Stock,Family,0.99,24.99,13,31.88,2.4523
Fight Jawbreaker,Animation,0.99,13.99,22,53.8,2.4455
Kick Savannah,Travel,0.99,10.99,20,48.83,2.4415
Dynamite Tarzan,Classics,0.99,27.99,25,60.77,2.4308
Splash Gump,Family,0.99,16.99,14,33.86,2.4186
Swarm Gold,Horror,0.99,12.99,27,64.77,2.3989
Mulan Moon,Comedy,0.99,10.99,13,30.89,2.3762
Hours Rage,New,0.99,14.99,19,44.82,2.3589
Hills Neighbors,Action,0.99,29.99,25,58.79,2.3516
Saddle Antitrust,Comedy,2.99,10.99,14,32.89,2.3493
Stampede Disturbing,Games,0.99,26.99,14,32.86,2.3471
Mob Duffel,Drama,0.99,25.99,12,27.9,2.325
Illusion Amelie,Foreign,0.99,15.99,15,34.87,2.3247
Detective Vision,Classics,0.99,16.99,27,62.76,2.3244
Sleuth Orient,Games,0.99,25.99,21,48.81,2.3243
Minority Kiss,Music,0.99,16.99,12,27.89,2.3242
Loathing Legally,Classics,0.99,29.99,27,62.74,2.3237
Dumbo Lust,Family,0.99,17.99,6,13.94,2.3233
Watership Frontier,Horror,0.99,28.99,6,13.94,2.3233
Annie Identity,Sci-Fi,0.99,15.99,22,50.81,2.3095
Army Flintstones,Documentary,0.99,22.99,16,36.86,2.3038
Midnight Westward,Action,0.99,19.99,17,38.84,2.2847
Double Wrath,Animation,0.99,28.99,25,56.79,2.2716
Groove Fiction,Sports,0.99,13.99,18,40.83,2.2683
Graffiti Love,Sci-Fi,0.99,29.99,30,67.74,2.258
Rugrats Shakespeare,Action,0.99,16.99,30,67.72,2.2573
Karate Moon,Horror,0.99,21.99,23,51.8,2.2522
Finding Anaconda,Family,0.99,10.99,12,26.9,2.2417
Mockingbird Hollywood,Action,0.99,27.99,24,53.78,2.2408
Evolution Alter,Sports,0.99,10.99,12,26.88,2.24
Roots Remember,Classics,0.99,23.99,17,37.86,2.2271
Joon Northwest,Sports,0.99,23.99,17,37.84,2.2259
Hobbit Alien,Drama,0.99,27.99,31,68.74,2.2174
Luck Opus,Drama,2.99,21.99,10,21.93,2.193
Go Purple,Music,0.99,12.99,20,43.83,2.1915
Pirates Roxanne,Sports,0.99,20.99,21,45.81,2.1814
Haunting Pianist,Games,0.99,22.99,22,47.8,2.1727
Reef Salute,Horror,0.99,26.99,11,23.89,2.1718
Majestic Floats,Documentary,0.99,15.99,17,36.85,2.1676
Vanished Garden,New,0.99,17.99,7,14.94,2.1343
Rings Heartbreakers,Action,0.99,17.99,15,31.87,2.1247
Watch Tracy,Animation,0.99,12.99,16,33.85,2.1156
Bound Cheaper,Classics,0.99,17.99,24,50.76,2.115
Tights Dawn,Sports,0.99,14.99,26,54.76,2.1062
Impact Aladdin,Music,0.99,20.99,9,18.92,2.1022
Disciple Mother,Travel,0.99,17.99,19,39.82,2.0958
Family Sweet,Horror,0.99,24.99,29,60.73,2.0941
Dances None,Action,0.99,22.99,14,28.87,2.0621
Summer Scarface,Classics,0.99,25.99,16,32.86,2.0538
Taxi Kick,Music,0.99,23.99,17,34.83,2.0488
Insects Stone,Animation,0.99,14.99,18,36.81,2.045
Encounters Curtain,Drama,0.99,20.99,19,38.82,2.0432
Club Graffiti,Animation,0.99,12.99,19,38.82,2.0432
Tramp Others,Comedy,0.99,27.99,20,40.82,2.041
Slums Duck,Family,0.99,21.99,24,48.78,2.0325
Sun Confessions,Sci-Fi,0.99,9.99,25,50.77,2.0308
Holy Tadpole,Classics,0.99,20.99,9,17.92,1.9911
Bonnie Holocaust,Documentary,0.99,29.99,16,31.85,1.9906
Armageddon Lost,Sci-Fi,0.99,10.99,21,41.8,1.9905
Gilbert Pelican,Classics,0.99,13.99,9,17.91,1.99
Gunfight Moon,Comedy,0.99,16.99,24,46.79,1.9496
Splendor Patton,Children,0.99,20.99,21,40.79,1.9424
Sundance Invasion,Children,0.99,21.99,19,36.82,1.9379
Tootsie Pilot,Children,0.99,10.99,15,28.88,1.9253
Drums Dynamite,Horror,0.99,11.99,13,24.87,1.9131
Savannah Town,Drama,0.99,25.99,12,22.9,1.9083
Mourning Purple,Sci-Fi,0.99,14.99,21,39.81,1.8957
Spoilers Hellfighters,Documentary,0.99,26.99,10,18.91,1.891
Gilmore Boiled,Classics,0.99,29.99,28,52.76,1.8843
Lion Uncut,Comedy,0.99,13.99,18,33.83,1.8794
Runner Madigan,Music,0.99,27.99,8,14.92,1.865
Kwai Homeward,Drama,0.99,25.99,23,42.8,1.8609
Banger Pinocchio,Music,0.99,15.99,22,40.8,1.8545
Hawk Chill,Documentary,0.99,12.99,7,12.94,1.8486
Pianist Outfield,New,0.99,25.99,21,38.78,1.8467
Dancing Fever,Documentary,0.99,25.99,27,49.76,1.843
Intrigue Worst,Foreign,0.99,10.99,20,36.81,1.8405
Jungle Closer,New,0.99,11.99,13,23.88,1.8369
Independence Hotel,Documentary,0.99,21.99,19,34.82,1.8326
Pacific Amistad,Documentary,0.99,27.99,24,43.81,1.8254
Factory Dragon,Travel,0.99,9.99,17,30.85,1.8147
Handicap Boondock,Action,0.99,28.99,28,50.76,1.8129
Gathering Calendar,Games,0.99,22.99,11,19.9,1.8091
Coast Rainbow,Documentary,0.99,20.99,21,37.82,1.801
Mystic Truman,Comedy,0.99,19.99,10,17.92,1.792
Notorious Reunion,Documentary,0.99,9.99,14,24.87,1.7764
Everyone Craft,Foreign,0.99,29.99,13,22.89,1.7608
Translation Summer,Drama,0.99,10.99,15,25.87,1.7247
Language Cowboy,Children,0.99,26.99,11,18.9,1.7182
Spirited Casualties,Sci-Fi,0.99,20.99,11,18.9,1.7182
Vision Torque,Foreign,0.99,16.99,7,11.94,1.7057
Louisiana Harry,Family,0.99,18.99,17,28.84,1.6965
Superfly Trip,Travel,0.99,27.99,10,16.91,1.691
Frogmen Breaking,Travel,0.99,17.99,10,16.9,1.69
Beneath Rush,Children,0.99,27.99,10,16.9,1.69
Women Dorado,Action,0.99,23.99,23,38.81,1.6874
Crooked Frogmen,Children,0.99,27.99,23,38.79,1.6865
Arabia Dogma,Horror,0.99,29.99,13,21.88,1.6831
Citizen Shrek,Sci-Fi,0.99,18.99,13,21.87,1.6823
Voice Peach,New,0.99,22.99,19,31.83,1.6753
Comancheros Enemy,Children,0.99,23.99,6,9.94,1.6567
Sorority Queen,Foreign,0.99,17.99,12,19.88,1.6567
Virginian Pluto,Documentary,0.99,22.99,29,47.75,1.6466
Rear Trading,Action,0.99,23.99,17,27.85,1.6382
Wrath Mile,Documentary,0.99,17.99,14,22.87,1.6336
Effect Gladiator,Family,0.99,14.99,25,40.79,1.6316
Ending Crowds,New,0.99,10.99,11,17.9,1.6273
Mars Roman,Games,0.99,21.99,19,30.83,1.6226
Goldmine Tycoon,Sci-Fi,0.99,20.99,27,43.76,1.6207
Motions Details,Horror,0.99,16.99,16,25.87,1.6169
Caper Motions,Comedy,0.99,22.99,24,37.77,1.5738
Roxanne Rebel,Games,0.99,9.99,19,29.83,1.57
Pocus Pulp,Documentary,0.99,15.99,26,40.75,1.5673
Amadeus Holy,Action,0.99,20.99,21,32.8,1.5619
Slipper Fidelity,Sports,0.99,14.99,16,24.86,1.5538
Cleopatra Devil,New,0.99,26.99,18,27.85,1.5472
Cheaper Clyde,Sci-Fi,0.99,23.99,20,30.83,1.5415
Beethoven Exorcist,Drama,0.99,26.99,11,16.89,1.5355
Shootist Superfly,Drama,0.99,22.99,24,36.77,1.5321
Monterey Labyrinth,Horror,0.99,13.99,13,19.89,1.53
Hunger Roof,Foreign,0.99,21.99,13,19.88,1.5292
Tenenbaums Command,Drama,0.99,24.99,13,19.88,1.5292
Voyage Legally,Classics,0.99,28.99,28,42.75,1.5268
Chainsaw Uptown,Sci-Fi,0.99,25.99,21,31.81,1.5148
Earth Vision,New,0.99,29.99,23,34.77,1.5117
Carrie Bunch,Horror,0.99,11.99,23,34.77,1.5117
Volcano Texas,Games,0.99,27.99,22,32.81,1.4914
Runaway Tenenbaums,New,0.99,17.99,8,11.93,1.4913
Sunset Racer,Family,0.99,28.99,8,11.93,1.4913
Soup Wisdom,Family,0.99,12.99,8,11.93,1.4913
Homeward Cider,Documentary,0.99,19.99,16,23.84,1.49
Storm Happiness,Animation,0.99,28.99,29,42.74,1.4738
Academy Dinosaur,Documentary,0.99,20.99,23,33.79,1.4691
Wind Phantom,Games,0.99,12.99,23,33.79,1.4691
Canyon Stock,Animation,0.99,26.99,19,27.81,1.4637
Encino Elf,Games,0.99,9.99,19,27.81,1.4637
Vietnam Smoochy,Drama,0.99,27.99,15,21.86,1.4573
Alaska Phantom,Music,0.99,22.99,26,37.77,1.4527
Congeniality Quest,Sports,0.99,21.99,22,31.81,1.4459
Legend Jedi,Music,0.99,18.99,9,12.92,1.4356
Victory Academy,Sports,0.99,19.99,9,12.91,1.4344
Tomatoes Hellfighters,Travel,0.99,23.99,14,19.86,1.4186
Westward Seabiscuit,Classics,0.99,11.99,26,36.75,1.4135
Loverboy Attacks,New,0.99,19.99,12,16.89,1.4075
Holocaust Highball,Children,0.99,12.99,17,23.84,1.4024
Alter Victory,Animation,0.99,27.99,22,30.8,1.4
Room Roman,Animation,0.99,27.99,20,27.82,1.391
Outbreak Divine,Games,0.99,12.99,23,31.82,1.3835
Fantasy Troopers,Action,0.99,27.99,26,35.79,1.3765
Anonymous Human,Sports,0.99,12.99,13,17.87,1.3746
Hook Chariots,Animation,0.99,23.99,13,17.87,1.3746
Maude Mod,Foreign,0.99,20.99,8,10.93,1.3663
Bull Shawshank,Action,0.99,21.99,16,21.84,1.365
Primary Glass,Action,0.99,16.99,27,36.73,1.3604
